@,@id,Start,Timestamp,Username,Source,Osm id,Name of Facility,Address,Phone Number,Operator Type,Facility Operator Name,Facility Location / latitude,Facility Location / longitude,Facility Location / altitude,Facility Location / accuracy,Operational Status,When is the facility open?,Which days is this facility open?,Open hours by day of the week / Enter open hours for each day:,Open hours by day of the week / Monday open hours,Open hours by day of the week / Tuesday open hours,Open hours by day of the week / Wednesday open hours,Open hours by day of the week / Thursday open hours,Open hours by day of the week / Friday open hours,Open hours by day of the week / Saturday open hours,Open hours by day of the week / Sunday open hours,Open hours by day of the week / Public Holiday open hours,Open hours by day of the week / Select hours,Enter weekday hours,OSM 'opening_hours',Opening hours,Verify the open hours are correct or go back and fix:,Facility Category,Available Services,Specialities,Speciality medical equipment available,Does this facility provide Emergency Services?,Does the pharmacy dispense prescription medication?,Number of Beds,Number of Doctors,Number of Nurses,Types of insurance accepted?,Is this facility wheelchair accessible?,What is the source of water for this facility?,What is the source of power for this facility?,URL for this location (if available),In which health are is the facility located?,In which health zone is the facility located?,UUID
62,1d4c79d9-4c3a-46d6-af65-e68f4bb3c675,2019-07-17T14:42:10.016000+00:00,2019-07-17T18:23:57.413000+00:00,Cheikhounabamba,HS-Gather-2019-Senegal,7a0745f4-9197-4c86-8c91-1987dbbeadce,Pharmacie Boulevard du Sud,Boulevard du Sud,+221339615000,private,Dr Amadou Mamadou Alpha Dia,16.02398064,-16.50627321,36,5,operational,oh_select,Mo Tu We Th Fr Sa PH,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,07:30-13:00,,07:30-22:00,Mo 07:30-22:00; Tu 07:30-22:00; We 07:30-22:00; Th 07:30-22:00; Fr 07:30-22:00; Sa 07:30-13:00; Su off; PH 07:30-22:00,,,Mo 07:30-22:00; Tu 07:30-22:00; We 07:30-22:00; Th 07:30-22:00; Fr 07:30-22:00; Sa 07:30-13:00; Su off; PH 07:30-22:00,,pharmacy,pharmacy,,,no,yes,,3,,public private,no,water_works,grid,,,,1eafd745-e16c-435c-9c33-e19bfddbae89
63,e8741974-f85e-4797-9ab6-af142d46f21a,2019-07-17T12:12:05.584000+00:00,2019-07-17T18:22:34.485000+00:00,Cheikhounabamba,HS-Gather-2019-Senegal,3bd87a1c-12ae-4c8c-b9e1-429dad818f8f,Case de Santé du quartier  Hydrobase,Hydrobase,+221773516544,community,Ministère de la santé et de l'action sociale,16.00375703,-16.50955179,31,6,operational,oh_select,Mo Tu We Th Fr,"09: 00-13:00
08:00-11:00,12:30-15:00
sunrise-sunset",sunrise-sunset,sunrise-sunset,sunrise-sunset,sunrise-sunset,sunrise-sunset,,,,Mo sunrise-sunset; Tu sunrise-sunset; We sunrise-sunset; Th sunrise-sunset; Fr sunrise-sunset; Sa off; Su off; PH off,,,Mo sunrise-sunset; Tu sunrise-sunset; We sunrise-sunset; Th sunrise-sunset; Fr sunrise-sunset; Sa off; Su off; PH off,,doctors,doctor,,,no,,0,0,2,public,yes,water_works,grid,,,,e9ef692a-f992-42b6-8b6a-1a6bf254c170
64,1a0e9aa3-2405-415e-88c9-03b708ff1b52,2019-07-17T09:18:48.569000+00:00,2019-07-17T18:23:49.667000+00:00,Cheikhounabamba,HS-Gather-2019-Senegal,6b748598-f2ea-48ca-9c22-9c2ee62e627f,Pharmacie Bouchra,Goxu-Mbacc 2e Bayal,+221339615189,private,Dr Mame Yacine Ndoye,16.04392403,-16.50675324,40,6,operational,oh_select,Mo Tu We Th Fr Sa PH,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,08:00-22:00,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH 08:00-22:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH 08:00-22:00,,pharmacy,pharmacy,,,no,yes,0,1,,private public,yes,water_works,solar,,,,9a8cbc5b-e34d-4ca3-98f6-2083922cf4fb
65,50270f91-2a36-493b-ba96-5cbe7d022c7d,2019-07-17T08:57:15.962000+00:00,2019-07-17T18:23:42.859000+00:00,Cheikhounabamba,HS-Gather-2019-Senegal,18aa0de1-d44a-4c55-b1d9-0119f9be2cc4,Poste de Goxu-mbacc,Goxu-Mbacc 2e Bayal,+221776507039,public,Ministère de la santé  et de l'action sociale,16.04367157,-16.50683362,45,6,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,doctor pharmacy hospital birthing_center,,ultrasound emergency_department,yes,,5,0,4,public,no,water_works,grid,,,,95fce6b3-7ad9-40d5-85ba-6b80dca24f39
66,7e8e24d1-e770-4f85-8141-a4573f59df88,2019-07-17T16:11:41.578000+00:00,2019-07-17T16:47:43.762000+00:00,cheikhounacasset,HS-Gather-2019-Senegal,0ceff329-3252-4c03-afb6-bd991947806e,Centre medico social,Rue thierno ousmane sy ndioloféne,+221339615212,public,IPRES,16.02210493,-16.48956648,36,8,operational,oh_select,Mo Tu We Th Fr,08:00-14:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,,,,Mo 08:00-17:00; Tu 08:00-17:00; We 08:00-17:00; Th 08:00-17:00; Fr 08:00-17:00; Sa off; Su off; PH off,,,Mo 08:00-17:00; Tu 08:00-17:00; We 08:00-17:00; Th 08:00-17:00; Fr 08:00-17:00; Sa off; Su off; PH off,,doctors,pharmacy,,,no,,3,1,1,no,yes,water_works,grid,,,,6fd27c2b-05db-4631-a704-37c699bc024a
67,69a68004-581c-492f-a07b-05a486e52949,2019-07-17T14:47:36.783000+00:00,2019-07-17T15:37:34.970000+00:00,cheikhounacasset,HS-Gather-2019-Senegal,d1aa7546-c09b-4766-8cda-ee8739301311,Pharmacie Régionale s'approvisionnement de Saint Louis,"Rue moustapha malick Guaye ,Ndiollofène",+221339611082,public,Ministère de la santé,16.01722176,-16.49022932,35,5,operational,oh_select,Mo Tu We Th Fr,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,,,,Mo 08:00-17:00; Tu 08:00-17:00; We 08:00-17:00; Th 08:00-17:00; Fr 08:00-17:00; Sa off; Su off; PH off,,,Mo 08:00-17:00; Tu 08:00-17:00; We 08:00-17:00; Th 08:00-17:00; Fr 08:00-17:00; Sa off; Su off; PH off,,pharmacy,pharmacy,,,,no,0,1,0,no,yes,water_works,grid,,,,22fcf5c3-0d1f-430b-a5db-1a034e854502
68,6128e506-a3a0-4e75-9c6c-49afcd5adb6f,2019-07-17T13:22:57.638000+00:00,2019-07-17T16:45:29.385000+00:00,cheikhounacasset,HS-Gather-2019-Senegal,719e5b7b-227a-4679-a711-21b87057823e,Centre de santé de Saint Louis,Lèona ocler,+221339613229,public,Ministère de la santé,16.01110146,-16.49334521,39,7,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,birthing_center pharmacy dentist laboratory optometrist,,emergency_department laboratory,yes,,25,3,10,private public,yes,water_works,grid,,,,136b0f78-ce5c-4b54-85ba-d95314fb47ac
69,ad3bfa6b-dd60-44b6-8824-f3cf5a8b0392,2019-07-17T12:25:30.370000+00:00,2019-07-17T16:46:32.201000+00:00,cheikhounacasset,HS-Gather-2019-Senegal,c0942ce0-ab15-498d-9846-8f02bda2704e,Pharmacie la pikinoise,Pikine sor,+221339611007,private,Docteur Françoise Gomis,16.00563718,-16.49062252,44,7,operational,oh_select,Mo Tu We Th Fr Sa,08-13h,08-22h,08-22h,08-22h,08-22h,08-22h,08-22h,,,Mo 08-22h; Tu 08-22h; We 08-22h; Th 08-22h; Fr 08-22h; Sa 08-22h; Su off; PH off,,,Mo 08-22h; Tu 08-22h; We 08-22h; Th 08-22h; Fr 08-22h; Sa 08-22h; Su off; PH off,,pharmacy,pharmacy,,,no,no,0,1,0,private public,yes,water_works,grid,,,,028ca36a-19dc-42ba-8ba0-fea7d754f898
70,eb057c7d-cd42-44bc-bec9-e79e614f9d25,2019-07-17T11:48:26.833000+00:00,2019-07-17T16:57:37.519000+00:00,cheikhounacasset,HS-Gather-2019-Senegal,40ad26a4-abd6-4ee6-a9e1-7780a53e18ef,Poste de santé sor Daga,Pikine sor daga,,public,Ministère de la santé,15.99749655,-16.48978609,33,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,birthing_center pharmacy,,,yes,,7,0,1,private,yes,water_works,grid,,,,bb047cd0-bcf8-4693-9872-ac60bb87650f
71,a322520d-4a5f-45fa-a07f-8fd583838ec2,2019-07-17T11:12:40.749000+00:00,2019-07-17T16:44:55.006000+00:00,cheikhounacasset,HS-Gather-2019-Senegal,dd794e33-bbc6-4a1b-9cb1-575b5dbd0800,Poste de santé pikine sor,Pikine sor,+221774252374,public,Ministère de la santé,15.9989664,-16.49548964,43,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,birthing_center pharmacy,,emergency_department,yes,,10,1,1,no,yes,water_works,grid,,,,d382cfa4-ee23-4bfd-ae2d-dfd54e0e451e
72,b27ef57b-0834-44bd-a6b7-807dfce2c217,2019-07-17T10:33:33.723000+00:00,2019-07-17T11:25:34.458000+00:00,cheikhounacasset,HS-Gather-2019-Senegal,f18af64a-c43c-422c-9b3f-e0055aaad6fb,Association Sénégalaise pour le bien-être des familles (ASBEF),Pikine 15m,+221339611658,community,ONG  (IPPF),15.99330006,-16.48996169,37,8,operational,oh_select,Mo Tu We Th Fr Sa,08h:00-16h:00,08h:00-16h:00,08h:00-16h:00,08h:00-16h:00,08h:00-16h:00,08h:00-16h:00,08h:00-10h:00,,,Mo 08h:00-16h:00; Tu 08h:00-16h:00; We 08h:00-16h:00; Th 08h:00-16h:00; Fr 08h:00-16h:00; Sa 08h:00-10h:00; Su off; PH off,,,Mo 08h:00-16h:00; Tu 08h:00-16h:00; We 08h:00-16h:00; Th 08h:00-16h:00; Fr 08h:00-16h:00; Sa 08h:00-10h:00; Su off; PH off,,doctors,laboratory,,laboratory,no,,0,0,0,private,yes,water_works,grid,https://asbef.asso-web.com,,,4f86503f-d75d-45e5-97a6-d1285e9ec80e
73,2cf28f37-7192-4eb4-b491-265388ab9a97,2019-07-17T10:08:17.718000+00:00,2019-07-17T12:57:13.107000+00:00,cheikhounacasset,HS-Gather-2019-Senegal,49e4f076-7f95-4bc0-9a07-4f535afa87ca,Pharmacie Hamndou Rabi,Pikine sor Diagne,+221339619055,private,Docteur mame Mor Traoré,15.990759,-16.48629745,37,8,operational,oh_select,Mo Tu We Th Fr Sa,8h:00-22h:00,8h:00-22h:00,8h:00-22h:00,8h:00-22h:00,8h:00-22h:00,8h:00-22h:00,8h:00-13h:00,,,Mo 8h:00-22h:00; Tu 8h:00-22h:00; We 8h:00-22h:00; Th 8h:00-22h:00; Fr 8h:00-22h:00; Sa 8h:00-13h:00; Su off; PH off,,,Mo 8h:00-22h:00; Tu 8h:00-22h:00; We 8h:00-22h:00; Th 8h:00-22h:00; Fr 8h:00-22h:00; Sa 8h:00-13h:00; Su off; PH off,,pharmacy,pharmacy,,,no,no,0,1,0,no,yes,groundwater,grid,,,,f344ee8b-71be-4f33-bbe0-38f3a60576a3
74,4011414c-9e4b-41a3-96a9-6a64511f6c10,2019-07-17T15:52:54.129000+00:00,2019-07-17T16:06:43.551000+00:00,AssaneChrif,HS-Gather-2019-Senegal,56769ef9-a2b7-47ac-9814-5e26728fa126,Terres Rouges ,"Saint-Louis, 122 avenue des grands  hommes (en face PLAN )",+221339614440,community,Terres Rouges,16.02076794,-16.48981601,47,3,operational,oh_select,Mo Tu We Fr Th,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,,,,Mo 09:00-18:00; Tu 09:00-18:00; We 09:00-18:00; Th 09:00-18:00; Fr 09:00-18:00; Sa off; Su off; PH off,,,Mo 09:00-18:00; Tu 09:00-18:00; We 09:00-18:00; Th 09:00-18:00; Fr 09:00-18:00; Sa off; Su off; PH off,,doctors,alternative,,,no,,0,0,1,private,yes,water_works,grid,https://www.terresrouges.be,,,569afa64-e6d1-4e49-a4ae-fc1954158e6d
75,93666fd5-0c4c-4c5f-8632-02ebdaf3a3af,2019-07-17T15:29:04.394000+00:00,2019-07-17T15:35:40.536000+00:00,AssaneChrif,HS-Gather-2019-Senegal,79b332bc-c0c6-4ec8-b91b-c52d24b06dc3,Pharmacie  du Fleuve ,"Djoloféne, avenue  Moutaphe Malick Gaye",+221339617618,private,Docteur Moussa Bâ,16.02060101,-16.49102594,48,5,operational,oh_select,Mo Tu We Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,pharmacy,pharmacy,,,no,yes,0,1,,private public,yes,water_works,grid,,,,9f173cf7-7ad0-4b11-89c8-f02dd9cd2e99
76,bcdb0be9-0526-41e3-a2ca-4b2cfe90960b,2019-07-17T14:41:07.022000+00:00,2019-07-17T14:50:08.492000+00:00,AssaneChrif,HS-Gather-2019-Senegal,adcbf9c3-68d7-462a-8c63-2dc7360694da,Pharamacie Château d'eau ,Léona ,+221339612390,private,Docteur Aliyoune Diagne,16.01354458,-16.49380705,39,5,operational,oh_select,Sa Fr We Tu Mo Th,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:15-22:00,08:15-22:00,08:15-22:00,08:15-22:00,08:15-22:00,08:15-13:00,,,Mo 08:15-22:00; Tu 08:15-22:00; We 08:15-22:00; Th 08:15-22:00; Fr 08:15-22:00; Sa 08:15-13:00; Su off; PH off,,,Mo 08:15-22:00; Tu 08:15-22:00; We 08:15-22:00; Th 08:15-22:00; Fr 08:15-22:00; Sa 08:15-13:00; Su off; PH off,,pharmacy,pharmacy,,,no,yes,0,1,0,public private,yes,water_works,grid,,,,f51b041f-729f-4894-8095-410f24365bbe
77,8efb8b5f-b25e-464e-8fe2-69ceaddac3f9,2019-07-17T13:50:42.499000+00:00,2019-07-17T13:58:57.315000+00:00,AssaneChrif,HS-Gather-2019-Senegal,02777e05-b622-44b3-946d-3c9cb7821b6d,Pharmacie Thierno Amadou Oumar Déme,"Léona,Sable ",+221339618556,private,Docteur Mouhamadoul Habib Déme,16.01297494,-16.49700726,35,6,operational,oh_select,Mo Tu We Fr Th Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,pharmacy,pharmacy,,,no,yes,0,1,0,private,yes,water_works,grid,,,,6fa3f09e-ce8c-4103-abf2-8f03a0af1082
78,23725bab-279f-4b32-a3cb-6e518f4e13d9,2019-07-17T13:19:44.954000+00:00,2019-07-17T13:29:23.776000+00:00,AssaneChrif,HS-Gather-2019-Senegal,605190af-8614-46e4-8ed5-a3d270354cd2,Pharmacie Papa Latsouck Faye,Pikine angle Tall,+221339615211,private,Docteur Djibril Sarr Faye,16.00901169,-16.49373631,43,5,operational,oh_select,Mo Sa We Fr Tu Th,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,pharmacy,pharmacy,,,no,yes,0,2,0,private,yes,water_works,grid,,,,ac0d451f-fc90-4ca9-ae49-a10292496d76
79,c7548d40-64e4-4eea-bd78-ad9cb40c890b,2019-07-17T11:51:36.990000+00:00,2019-07-17T11:59:21.025000+00:00,AssaneChrif,HS-Gather-2019-Senegal,f11682af-33c1-43a7-9e77-d68c7dda7459,AL HAMDOULILAH,"Pikine, tableau Waalo",+221339615020,private,Docteur Khoudia Tabane,16.00234837,-16.4881693,24,5,operational,oh_select,Mo Tu We Th Sa Fr,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,pharmacy,pharmacy,,,no,yes,0,2,,private,yes,water_works,grid,,,,e86af3b6-0747-412b-8db1-2c598c3716f9
80,373dbd8e-18e5-4431-ab6d-7a1122bdf419,2019-07-17T11:09:23.367000+00:00,2019-07-17T11:24:16.591000+00:00,AssaneChrif,HS-Gather-2019-Senegal,15a387fc-6999-454e-82d0-6fd8c3cc277d,Mame Awa,Pikine 700,+221339615253,private,Docteur Chérif Younouss Ndiaye,15.99898329,-16.49567219,31,3,operational,oh_select,Mo Tu We Fr Th Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,07:30-13:00,,,Mo 07:30-22:00; Tu 07:30-22:00; We 07:30-22:00; Th 07:30-22:00; Fr 07:30-22:00; Sa 07:30-13:00; Su off; PH off,,,Mo 07:30-22:00; Tu 07:30-22:00; We 07:30-22:00; Th 07:30-22:00; Fr 07:30-22:00; Sa 07:30-13:00; Su off; PH off,,pharmacy,pharmacy,,,no,yes,0,1,0,public private,yes,water_works,grid,,,,c5072db8-4dc5-4cd0-9b70-95eb8e281948
81,bd7ad420-dbc9-436a-ae12-b71368ccc888,2019-07-17T10:08:27.324000+00:00,2019-07-17T10:16:41.989000+00:00,AssaneChrif,HS-Gather-2019-Senegal,43b32fa3-3653-44b8-81cf-c3aa887d042a,Hamdou Rabi,Pikine Sor Diagne,+221339619055,private,Docteur Mame Mor Traoré,15.99069782,-16.48637415,44,5,operational,oh_select,Mo We Tu Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,pharmacy,pharmacy,,,no,yes,0,1,0,no,yes,water_works,grid,,,,b38cfa41-7b67-45ce-a5d3-7a3fb0a84bcc
82,dd793da1-da5f-49ec-b55c-67311dd2af3a,2019-07-17T09:52:11.617000+00:00,2019-07-17T09:59:09.978000+00:00,AssaneChrif,HS-Gather-2019-Senegal,7d8d4375-3556-4015-aed8-d95ecdb2c251,Guy Seddele,Pikine Sor Daga,+221339615183,private,Docteur Ibrahima Thiam,15.99434742,-16.4870302,34,5,operational,oh_select,Mo Tu We Fr Th Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:30-22:00,08:30-22:00,08:30-22:00,08:30-22:00,08:30-22:00,08:30-13:00,,,Mo 08:30-22:00; Tu 08:30-22:00; We 08:30-22:00; Th 08:30-22:00; Fr 08:30-22:00; Sa 08:30-13:00; Su off; PH off,,,Mo 08:30-22:00; Tu 08:30-22:00; We 08:30-22:00; Th 08:30-22:00; Fr 08:30-22:00; Sa 08:30-13:00; Su off; PH off,,pharmacy,pharmacy,,,no,yes,0,1,0,public private,yes,water_works,grid,,,,447a6aa6-951f-458b-aeb6-9f66df449481
83,6affca50-4c9e-4425-a327-53725f9df99c,2019-07-17T15:17:12.834000+00:00,2019-07-17T17:33:59.425000+00:00,NdeyeKhadyNdoye,HS-Gather-2019-Senegal,a7a83f1d-1cb7-49db-824a-63a512d11106,Case de santé de Merina SALL,Merina SALL,,public,Ministère de la santé et de l'action sociale,15.83930572,-16.36141313,54,5,operational,oh_weekday,,,,,,,,,,,,09:00-18:00,,Mo-Fr 09:00-18:00; PH off,,doctors,doctor,,,no,,0,,1,no,no,water_works,grid,,,,fcd27684-6bc3-4682-94ce-8e3b60f6d1c8
84,f3548f9e-6367-48b7-9240-1b8ad1bf1e54,2019-07-17T15:01:08.882000+00:00,2019-07-17T17:32:44.053000+00:00,NdeyeKhadyNdoye,HS-Gather-2019-Senegal,cf53ec8e-f495-42d1-92ac-6029830956e2,Case de santé de Bidiam Mouride,Bidieum Mouride,,public,Ministère de la santé et de l'action sociale,15.85846009,-16.31860156,53,5,operational,oh_weekday,,,,,,,,,,,,09:00-18:00,,Mo-Fr 09:00-18:00; PH off,,doctors,doctor,,,no,,0,,1,no,no,water_works,none,,,,98f853ec-e4db-4d96-b316-884042b9d6eb
85,82990bd9-c4ff-494c-8313-824e4bc961a2,2019-07-17T13:57:01.419000+00:00,2019-07-17T13:59:35.980000+00:00,NdeyeKhadyNdoye,HS-Gather-2019-Senegal,a746c83b-e59a-4e90-93a3-0717beccd3b3,Case de santé de Ndioubnane,Ndioubnane,,public,Ministère de la santé et de l'action sociale ,15.98290047,-16.29972945,35,5,operational,oh_weekday,,,,,,,,,,,,09:00-18:30,,Mo-Fr 09:00-18:30; PH off,,doctors,doctor,,,no,,0,,1,no,no,water_works,none,,,,da8b84f1-c758-47b9-bd13-65215f21e972
86,e4460766-6ced-4237-b26f-163353252c13,2019-07-17T13:32:13.085000+00:00,2019-07-17T17:33:13.362000+00:00,NdeyeKhadyNdoye,HS-Gather-2019-Senegal,61956c96-d664-49d2-bef2-8e53e7b89d84,Case de santé de Gonio Peul,Gonio Peul,,public,Ministère de la santé et de l'action sociale,16.03904903,-16.22570534,39,5,operational,oh_weekday,,,,,,,,,,,,09:00-18:30,,Mo-Fr 09:00-18:30; PH off,,doctors,doctor,,,no,,,,1,no,,water_works,,,,,8e217eb7-22bb-4241-84c1-35c1819c7213
87,e26450e6-e1be-465c-8773-089272e86e80,2019-07-17T12:42:52.698000+00:00,2019-07-17T17:33:30.337000+00:00,NdeyeKhadyNdoye,HS-Gather-2019-Senegal,1952c56b-f4ec-42cb-87fb-61f23bf6e14d,Case de santé Ndakhar Peul,Ndakhar Peul,,public,Ministère de la santé et de l'action sociale,15.94460862,-16.22492599,42,5,operational,oh_select,Mo Tu We Th Fr,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,,,,Mo 09:00-18:30; Tu 09:00-18:30; We 09:00-18:30; Th 09:00-18:30; Fr 09:00-18:30; Sa off; Su off; PH off,,,Mo 09:00-18:30; Tu 09:00-18:30; We 09:00-18:30; Th 09:00-18:30; Fr 09:00-18:30; Sa off; Su off; PH off,,doctors,doctor pharmacy birthing_center,,,no,,1,0,1,no,no,water_works,solar,,,,985b2dd3-de8e-435d-8748-05c89083d7b1
88,6ff50c47-4287-4735-b852-4fd41d9233a3,2019-07-17T10:11:23.162000+00:00,2019-07-17T10:53:07.748000+00:00,NdeyeKhadyNdoye,HS-Gather-2019-Senegal,752b16eb-3a94-4ac4-859b-f1f535b06787,Case de santé Khelcom DIOP,Khelcom DIOP,,public,Ministère de la santé et de l'action sociale ,15.90651358,-16.33514668,42,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,doctor pharmacy,,,no,,1,,1,no,no,water_works,none,,,,3d9a60dd-73a0-4aa2-9114-2c610832fbce
89,a940083b-f8ce-4481-9528-493a29894c39,2019-07-17T15:31:07.916000+00:00,2019-07-17T17:32:28.135000+00:00,Ibou1003,HS-Gather-2019-Senegal,1e3841ed-46ec-4946-930e-b6d555428961,Case de santé de Mbatiasse Dieye,Mbathiasse Dieye,,public,Ministère de la santé et de l'action sociale,15.86539804,-16.34690699,50,5,operational,oh_weekday,,,,,,,,,,,,09:00-18:00,,Mo-Fr 09:00-18:00; PH off,,doctors,doctor,,,no,,,,1,unknown,no,well,none,,,,ad2774d2-9e15-4e8b-8646-bd53d8ba9fb7
90,e343e6da-257f-4dcf-b7c4-3c71950ef9e1,2019-07-17T10:04:54.925000+00:00,2019-07-17T17:33:52.943000+00:00,NdeyeKhadyNdoye,HS-Gather-2019-Senegal,3c0671cd-e0d4-4ef7-8eaa-b6096c7e41b1,Case de santé de Semel,Semel,,public,Ministère de la santé et de l'action sociale,15.92900223,-16.34713808,39,5,operational,oh_unknown,,,,,,,,,,,,,,unknown,,doctors,doctor pharmacy,,,no,,,,1,no,no,,none,,,,cee0cb65-c709-4233-897c-f3ece1d82e47
91,13fb0de2-ce87-4401-ac1b-4261174281dc,2019-07-17T15:11:29.865000+00:00,2019-07-17T17:32:37.435000+00:00,Ibou1003,HS-Gather-2019-Senegal,20c9486b-996b-4584-a555-768f087d59e6,Case de santé de Ndieye Wade,Ndieye wade,,public,Ministère de la santé et de l'action sociale,15.83705414,-16.33281601,53,5,operational,oh_weekday,,,,,,,,,,,,09:00-18:00,,Mo-Fr 09:00-18:00; PH off,,doctors,doctor,,,no,,,,1,unknown,no,water_works,none,,,,a5a77a2b-7de7-4197-9ff5-2f9dc75fb34e
92,80569a89-35c2-4dd0-a72c-c1924fe5fbc3,2019-07-17T09:00:24.259000+00:00,2019-07-17T09:09:01.394000+00:00,NdeyeKhadyNdoye,HS-Gather-2019-Senegal,b3a000f2-d6dd-4701-bd4a-e4d875bdd5a4,Pharmacie Mame Rawane Ngom,Quartier Mame Rawane Mpal,+221339625450,private,Docteur Moustapha BOP,15.91783091,-16.27406683,42,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,pharmacy,pharmacy,,,no,yes,,1,,no,yes,water_works,grid,,,,356cec6b-2489-4db7-98ee-6de5e6341b89
93,60e89856-7858-4491-b64c-a6448588e9ea,2019-07-17T14:41:27.843000+00:00,2019-07-17T17:32:46.221000+00:00,Ibou1003,HS-Gather-2019-Senegal,91c75606-0c1f-4afc-96f0-397b8a00623d,Case de santé de Ndabé Sow,Ndabé Sow,,public,Ministère de la santé et de l'action sociale,15.87381897,-16.2665978,46,5,operational,oh_weekday,,,,,,,,,,,,09:00-18:00,,Mo-Fr 09:00-18:00; PH off,,doctors,doctor,,,no,,,,1,unknown,no,well,none,,,,3ff76448-fb5d-41fe-a18d-78c4c37de2db
94,6ded9ae8-4997-4b5d-842f-1526af5cea5c,2019-07-17T08:19:08.966000+00:00,2019-07-17T08:53:16.082000+00:00,NdeyeKhadyNdoye,HS-Gather-2019-Senegal,f7185c62-ac3c-41c7-ab91-4421c3f17050,Case de santé Grand Mpal,Grand Mpal,,public,Ministère de la santé et de l'action sociale ,15.92171492,-16.26099969,41,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,doctor pharmacy,,,no,,1,1,,no,no,water_works,none,,,,e0c7a3a5-1989-42d9-ae4b-2c4fd9495740
